DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
10.1002/ace.20547,Self-Directed Adult Learning: Then and Now,Kathy Peno,New Directions for Adult and Continuing Education,2024,"Self‐directed learning (SDL) has become increasingly important in today's fast‐paced and ever‐changing society. This paper explores SDL's historical evolution, theoretical foundations, and practical applications, particularly in online environments. SDL is defined as a personal attribute and a process that empowers learners to take the initiative and responsibility for their education. Key models of SDL, including those by Candy, Brockett and Hiemstra, and Grow, provide frameworks for understanding how learners develop self‐direction. The role of social context and the importance of lifelong learning are emphasized, especially during significant events like the COVID‐19 pandemic, highlighting the necessity for adaptability in education and work. Additionally, the paper discusses how SDL is facilitated in online learning environments, highlighting the need for learners to develop skills in self‐regulation, time management, and effective use of resources to succeed.",281906574,0,47,,"acesso_semPDF, aprendizagem autodirigida, revisao_sistematica"
(missing DOI),Readiness factors contributing to participant satisfaction in online higher education courses,Dewey L. Fogerson,(missing journal),2005,(missing abstract),127880933,25,117,,"Aprendiz_Universitario, referencial teorico"
(missing DOI),"Self-Direction in Adult Learning: Perspectives on Theory, Research, and Practice. Routledge Series on Theory and Practice of Adult Education in North America.","Ralph G. Brockett, Roger Hiemstra",(missing journal),1991,(missing abstract),81256884,54,0,,aprendizagem autodirigida
10.1002/ace.3,Andragogy and Self-Directed Learning: Pillars of Adult Learning Theory,S. Merriam,(missing journal),2001,Andragogy and self-directed learning continue to be important to our present-day understanding of adult learning.,19885748,1645,124,,acesso_comPDF
10.1177/074171369704800103,Self-Directed Learning: Toward a Comprehensive Model,D. Garrison,(missing journal),1997,"Self-directed learning is a core theoretical construct distinguishing adult education as a field of study. Most of the concept's emphasis has been on the external control and management of learning tasks. In an attempt to expand the scope of self-directed learning, this paper presents a comprehensive theoretical model. The proposed model integrates self-management (contextual control), self-monitoring (cognitive responsibility), and motivational (entering and task) dimensions to reflect a meaningful and worthwhile approach to self-directed learning. Explicating the cognitive and motivational dimensions of self-directed learning is identified as an area requiring further research.",229466001,1351,49,,acesso_comPDF
10.5860/choice.29-4017,Self-direction for lifelong learning: a comprehensive guide to theory and practice,Philip C. Candy,Choice Reviews Online,1992,Part 1 The scope and meaning of self-directed learning: what is self-directed learning? the growth of interest in self-directed learning promise and limitations for education and training. Part 2 Four dimensions of self-direction: personal autonomy self-management in learning the independent pursuit of learning learner-control of instruction. Part 3 New theoretical insights on self-directed learning: understanding the individual nature of learning how learners approach learning situations factors that influence the capacity for self-direction. Part 4 Promoting self-direction in learning: developing skills for self-directed learning facilitating independent mastery of subject matter helping learners gain a sense of personal control. Part 5 Realizing the potential of self-direction in adult learning: enhancing self-directed learning in adult education directions and agendas for research resource - a profile of the autonomous learner.,85373340,1137,0,,"acesso_comPDF, artigo_seminal"
10.1177/0001848191041003001,Teaching Learners To Be Self-Directed,Gerald Grow,(missing journal),1991,"Based on the Situational Leadership model of Hersey and Blanchard (1988), the Staged Self-Directed Learning Model proposes that learners advance through stages of increasing self-direction and that teachers can help or hinder that development. Good teaching matches the learner's stage of self-direction and helps the learner advance toward greater self-direction. Specific methods are proposed for teaching students at each stage, although many different teaching styles are good when appropriately applied. Several pedagogical difficulties are explained as mismatches between teacher style and learner stage, especially the mismatch between a student needing direction and a non-directive teacher.",175525398,1095,43,,"acesso_comPDF, referencial teorico"
10.2307/1320627,Self-Direction for Lifelong Learning,"Jean Ellen Jones, Philip C. Candy",Studies in Art Education: A Journal of Issues and Research in Art Education,1993,(missing abstract),215375168,904,2,,acesso_comPDF
10.1177/1745691612454304,Self-Directed Learning,"T. Gureckis, D. Markant",Perspectives on psychological science : a journal of the Association for Psychological Science,2012,"A widely advocated idea in education is that people learn better when the flow of experience is under their control (i.e., learning is self-directed). However, the reasons why volitional control might result in superior acquisition and the limits to such advantages remain poorly understood. In this article, we review the issue from both a cognitive and computational perspective. On the cognitive side, self-directed learning allows individuals to focus effort on useful information they do not yet possess, can expose information that is inaccessible via passive observation, and may enhance the encoding and retention of materials. On the computational side, the development of efficient “active learning” algorithms that can select their own training data is an emerging research topic in machine learning. This review argues that recent advances in these related fields may offer a fresh theoretical perspective on how people gather information to support their own learning.",54016352,813,151,,acesso_comPDF
10.4324/9780429457319,Self-Direction in Adult Learning,"R. Brockett, R. Hiemstra",(missing journal),1991,"A self-directed learner is one who takes sole responsibility for his or her own learning. The idea is not a new one but has recently received renewed attention in education circles and has particular significance for the adult education sector. Self-direction represents a significant shift from traditional academic planning. It emphasizes autonomy and personal development and is now considered an important component of courses, not just in independent study or for external degrees, but in, for example, literacy training, continuing professional training, or computer and video technology. ""Self-Direction in Adult Learning"" provides the reader, whether academic or professional, with a comprehensive synthesis of developments, issues and practices related to self-direction and learning. Suggesting that self-direction should be considered as a way of life, it presents strategies for facilitating self-directed learning as an instructional method and for enhancing learner self-direction as an aspect of adult personality. Together with an analysis of current research trends, the book has chapters on major issues for practice, including institutional perspectives of self-direction, and policy issues.",102788079,761,3,,"acesso_comPDF, aprendizagem autodirigida"
10.1007/s10648-008-9082-7,Self-Directed Learning in Problem-Based Learning and its Relationships with Self-Regulated Learning,"Sofie M. M. Loyens, Joshua Magda, R. Rikers",(missing journal),2008,(missing abstract),276100891,397,1,,"acesso_comPDF, aprendizagem autodirigida"
10.1046/j.1365-2648.2003.02673.x,Self-directed learning in nurse education: a review of the literature.,E. O'Shea,Journal of advanced nursing,2003,"RATIONALE
Self-directed learning is essential in assisting nurses to meet the challenges presented in today's health care environment. Nurse educators have an important role to play in assisting nurses to acquire the skills for self-directed learning, and to do this they need to understand the concept of self-directed learning.


AIM
The aim of this review is to explore the concept of self-directed learning and its use in nurse education.


METHODS
A review of the literature was conducted using CINAHL, Medline and other databases and the keywords 'self-directed learning', 'student nurses', 'classroom', 'nursing education' and 'adult education'.


FINDINGS
The concept of self-directed learning is based on the principles of adult education and can take many different formats. Self-directed learning has many benefits. However, acquiring the necessary skills is dependent on a students' preference and readiness for self-directed learning and nurse educators' implementation of the concept. In implementing self-directed learning, nurse educators become facilitators of learning and require ongoing staff development. Not all students are self-directed and a variety of teaching methods should be used in curricula.


CONCLUSIONS
A consensus definition of the concept of lifelong learning does not exist, and students and teachers may have different perspectives on it. Mature students may be more self-directing than school-leavers, and learning styles and readiness to learn need to be assessed when judging the appropriateness of using self-directed learning approaches. However, there are many potential benefits, including increased confidence, autonomy, motivation and preparation for lifelong learning.",211023614,314,72,,"acesso_comPDF, aprendizagem autodirigida, revisao_sistematica"
10.1177/0001848186036002004,Development and Validation of an Instrument to Identify Self-Directed Continuing Learners,L. Oddi,(missing journal),1986,"This study sought to describe the personality characteristics of self-directed continuing learners, develop an instrument to identify such learners, and conduct empirical investigations to validate the instrument. Dimensions of the self-directed continuing learner's personality were developed and then used in the construction of an item pool. Prepilot and pilot study results provided the basis for refining the items into a 24-item instrument. When administered to a sample of 271 graduate students, the instrument demonstrated an internal consistency of .87 and a test-retest reliability of .89. Estimates of construct validity were obtained through correlation of scores with measures of educational participation, adult intelligence, self-confidence, endurance, and affiliation; results suggest the instrument is a valid tool for identifying self-directed continuing learners when used in its entirety.",163300077,237,21,,"acesso_comPDF, aprendizagem autodirigida, referencial teorico"
10.1080/13562510802169756,Self-directed learning – a learning issue for students and faculty!,"C. Silén, Lars Uhlin",(missing journal),2008,"Self-directed learning (SDL), is an essential concept in problem-based learning (PBL), and, in a broader sense, student-centred learning. Considering the complex nature of SDL, it has been taken for granted and given a shallow meaning, i.e. self-study. In order to develop a deeper understanding and make use of the potential in SDL, this paper discusses and puts forward a more profound meaning. The importance of regarding becoming a self-directed learner as a learning process, and the need for teachers to take part in the learning, is crucial. Two ‘thinking models’, one concerning the PBL tutorial work and one the relationship between tutorial work and self-study, are introduced. The unifying idea behind the reasoning is to emphasise the essence of providing opportunities for, as well as stimulating, the students’ inquiring approach and responsibility.",160384092,165,38,,"acesso_comPDF, aprendizagem autodirigida"
10.1177/0741713610380447,Development of the PRO-SDLS: A Measure of Self-Direction in Learning Based on the Personal Responsibility Orientation Model,"S. Stockdale, R. Brockett",(missing journal),2011,The purpose of this study was to develop a reliable and valid instrument to measure self-directedness in learning among college students based on an operationalization of the personal responsibility orientation (PRO) model of self-direction in learning. The resultant 25-item Personal Responsibility Orientation to Self-Direction in Learning Scale (PRO-SDLS) was found to be a highly reliable instrument in the selected sample of graduate and undergraduate education students. Confirmatory factor analysis established that a four latent variable model fit the data. Scores from the PRO-SDLS were significantly related to criterion variables thought to demonstrate self-direction and to a known instrument of self-direction while accounting for additional variance. Recommendations for further research in the ongoing process of scale validation and implications for practice are provided.,96750617,133,63,,"acesso_comPDF, aprendizagem autodirigida"
10.1177/0273475313494010,Self-Directed Learning,"Stefanie L. Boyer, D. Edmondson, Andrew B. Artis, David E. Fleming",(missing journal),2014,"A meta-analytic review of self-directed learning (SDL) research over 30 years, five countries, and across multiple academic disciplines is used to explore its relationships with five key nomologically related constructs for effective workplace learning. The meta-analysis revealed positive relationships between SDL and internal locus of control, motivation, performance, self-efficacy, and support. The use of an actual SDL project in an undergraduate sales management course and an MBA selling and sales management course is used to provide supporting evidence and practical advice for educators seeking to use SDL to promote lifelong learning skills in students.",22259836,128,55,,"acesso_comPDF, aprendizagem autodirigida"
10.4135/9781483328782,Assessment Strategies for Self-Directed Learning,"Arthur L. Costa, B. Kallick",(missing journal),2003,"The best ebooks about Assessment Strategies For Self Directed Learning that you can get for free here by download this Assessment Strategies For Self Directed Learning and save to your desktop. This ebooks is under topic such as assessment strategies for self directed learning experts effective online instructional and assessment strategies self-assessment in self-directed learning: can we trust it formative assessment strategies in math professional learning strategies self-assessment tool why we need self-directed learners authentic assessment strategies in problem based learning techniques, tools, and resources for the self-directed learner developing self-regulated learning skills in young students 9 assessment strategies for enquiry and problem-based learner autonomy, self-directed learning and assessment promoting self directed learning skills in first year students practice-based learning and improvement investigating learning by teaching and learning by assessment a conceptual model for understanding self-directed teachersÃ¢Â€ÂTM perception on assessment strategies student self-assessment: the key to stronger student assessment and feedback to facilitate self-directed the effect of self directed learning tasks on attitude international journal of self-directed learning self directed support learning exercise evaluation the impact of self-directed learning strategies on reading self-directed learning, intrinsic motivation and student formative assessment and motivation: theories and themes assessment for learning: reconsidering portfolios and approaches to teaching, learning and assessment and the helping students become self-directed learners self direction strategies edtech leaders online differentiated assessment strategies: identifying learners facilitating the development of self-directed learning effective online assessment strategies for today's use assessment and evaluation strategies self directed learning package patient falls prevention",24424648,125,0,,"acesso_comPDF, acesso_semPDF, aprendizagem autodirigida"
10.1177/0001848187038001003,Perspectives On Self-Directed Learning,L. Oddi,(missing journal),1987,"Self-directed learning in adults is considered predominantly a process of self-instruction. This conception is inadequate because it fails to account for persistence in learning and excludes adults who are unable to plan self-instruction. These inadequacies, however, can be addressed by studying self-directed learning as it relates to the learner's personality. Linking self-directed learning and personality has several advantages: Self-directed learning could be studied independent of the mode of learning an individual selects, a relatively stable indicator of self-directed learning-personality-would be available for study, and the personality characteristics leading an individual to initiate and persist in learning would provide a more unified and comprehensive focus for the study of self-directed learning.",196428463,103,46,,"acesso_comPDF, aprendizagem autodirigida"
(missing DOI),Development of an Instrument to Measure Self-Directedness,Susan Stockdale,(missing journal),2003,"The purpose of this study was to develop a reliable and valid instrument to measure self-directedness in learning within the framework of the teaching-learning (TL) and learner characteristics (LC) components of the Personal Responsibility Orientation (PRO) Model of Self-Direction (Brockett & Hiemstra, 1 99 1 ) among college students. Accomplishing this purpose involved two stages: (a) the identification and operationization of reliable scale items that validly reflected the two components of the PRO model, and (b) the validation of the developed scale items with other related measures of self-direction. The resultant 35-item Personal Responsibility Orientation to Self-Direction in Learning Scale (PRO-SDLS) was a highly reliable (coefficient alpha = .92) instrument in the selected sample (N = 2 1 9) of graduate and undergraduate education students. Both TL and LC items were highly correlated with the scale total. The scores from the PRO-SDLS were significantly related to criterion variables thought to demonstrate self-direction. However, PRO-SDLS scores were not significantly related to professor­ ratings of students' self-direction. Additionally, scores from the PRO-SDLS were significantly related (r = . 76, p <.0 1 ) to a known instrument of self-direction (SDLRS) and accounted for additional variance beyond the SDLRS in predicting age, GP A, and class performance. Experts who examined the content of items on the PRO-SDLS rated 3 1 out ofthe 35 items appearing on the final version ofthe PRO-SDLS as representative of the PRO model.",51014607,28,51,,"acesso_comPDF, aprendizagem autodirigida"
(missing DOI),International Journal of Self-Directed Learning,"C. Davis, Carrie A. Bailey, M. Nypaver, T. Rees, R. Brockett",(missing journal),2011,"Scholars of self-directed learning look to define best practices in teaching and learning that promote an improvement in self-directed learning. In order to do this, learners need more awareness of the student learning outcomes that exist as part of their programs of study. Could the use of an e-portfolio system allow students to see their learning goals, determine how to meet those learning goals, and evaluate their own learning outcomes as a means to foster increased self-directed learning? The COVID-19 pandemic has highlighted weaknesses in our education system and has prompted renewed conversation about the structure of education. This article argues that the conversation should be more geared to the why of education (i.e., the purpose of schools) rather than the how (i.e., the multiple ways of delivering education both for in-person and remote settings). This article examines two conflicting philosophies of education. First, the model of self-directed learning put forward by Knowles in 1975 is presented and why it may be useful in our present circumstances. In contrast, Biesta’s critique of the rise of learning (and removal of teaching) in education will be presented, showing the political power at work in this discourse. Finally, a type of synthesis is reached between these two polarized positions with the help of Freire, arguing for a why of education that has rehumanization at its center.",32226647,18,586,,"Andragogia, Referencia_incorreta, acesso_comPDF, aprendizagem autodirigida"
(missing DOI),Examination of The Big Five And Narrow Traits In Relation To Learner Self-Direction,Jeral R. Kirwan,(missing journal),2012,"Self-direction in learning is a major topic in the field of adult learning. There has been extensive coverage of the topic by theorists, researchers, and practitioners. However, there have been few studies which look at learner self-direction specifically as a personality trait. The present study addresses the relationship between learner selfdirection and other personality traits of college students when the traits represented by the five-factor model of personality (Digman, 1990) are differentiated from narrow personality traits. Archival data were used from an undergraduate sample at a large Southeastern U.S. university (sample size = 2102). Correlation and multiple regression analyses were used in examining the unique individual relationship between Big Five and narrow personality traits and learner self-direction. Analysis of the data revealed five significant part correlations between specific traits and learner self-direction. The part correlations for Work Drive (.310) and Openness (.207) were significantly higher than all other part correlations. Neither Conscientiousness nor Agreeableness had significant part correlations despite having significant zero-order correlations with learner self-direction. Extraversion did not have a significant zero-order correlation with learner self-direction but the part correlation was significant. Results were discussed in terms of the predictive relationship between personality variables and learner self-direction. Study implications, some limitations, and possible directions for future research were noted. Table of",115976145,2,171,,"acesso_comPDF, aprendizagem autodirigida"
(missing DOI),An Analysis of the Characteristics of Self-Directed Learners and Strategies to Enhance Self-Directed Learning in Education Systems: Transcending Boundaries,N. Edwards,(missing journal),2015,"Education can allow individuals to transcend boundaries of space, identity, and culture by empowering learners with the ability to pursue self-directed, lifelong learning. Valuable new meanings and understandings can be created by the interaction between self-motivated, self-directed learners, communities, and a wide range of organizations (Rogers, 2004). A shift away from traditional, teacher-centered power relations towards learner-centered approaches can significantly enhance learning and create the intrinsic motivation necessary to enable effective, dynamic, lifelong learning processes. Intrinsic motivation is an essential element of self-directed learning (Cross, 1992). Self-directed learners are skilled at teaching others and at overcoming barriers to communication and mutual understanding. Self-motivated learners understand the viewpoints of other learners and are skillful at sharing experiences and knowledge (Kalantzis, 2003). Mentors play a useful role as guides and advisors in self-directed learning. One of the most important, fundamental goals of education may be to create the conditions that lead to intrinsic motivation and a lifetime of self-directed learning (Lewis, 1995). Self-directed learning is becoming increasingly important in the global economy and international society and is associated with adult learners that exhibit common characteristics. Self-reflection is a key aspect of lifelong learning and leads to a better understanding of one's own strengths and weaknesses. Self-directed learners are engaged emotionally in the learning process and are able to monitor and adjust their own learning. Learner-centered learning strategies can be employed to enhance and promote the traits of self-directed learners and lifelong learning for the benefit of individuals and society.",49615089,2,15,,"acesso_comPDF, aprendizagem autodirigida"
10.3928/0022-0124-19760501-17,"Self-Directed Learning, A Guide for Learners and Teachers",J. McNally,(missing journal),1976,(missing abstract),169990759,2168,0,,"Referencia_incorreta, acesso_semPDF"
